axis,axis_label,level,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R1,R1: top-2 illiberality gap,all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R1,R1: top-2 illiberality gap,q20 (≥ 0.018),1081,125,-0.016113604219029243,0.06603216783352737,0.8072102326668051,1081,-0.06471106403744502,0.035830020061891454,0.07090941259708605,1.503861891018261,5.281721236087744,0.7758513815540236
R1,R1: top-2 illiberality gap,q40 (≥ 0.09),810,102,0.022502316426021657,0.07628437059134595,0.7680096307477798,810,-0.07769427421690876,0.04686706061262909,0.09736619446245136,-2.657892556085964,7.729903004795058,0.7309624613794602
R1,R1: top-2 illiberality gap,q60 (≥ 0.199),539,73,-0.019427956036252636,0.09777119591095547,0.8424908677657086,539,-0.06762748017404276,0.055238311274766604,0.22084443136729467,-3.5537195892531575,124.27921516386601,0.977187885893574
R1,R1: top-2 illiberality gap,q80 (≥ 0.437),271,35,-0.17126731945559415,0.19618746857755912,0.38267513723441876,271,-0.07521352964944585,0.09690321944395909,0.43764765544098677,0.3758147079722239,0.9541882829261267,0.6936858654303455
R2,R2: more-illiberal party's score,all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R2,R2: more-illiberal party's score,q20 (≥ 0.144),1077,139,-0.002641678027845068,0.07322425812263729,0.9712213268747831,1077,-0.07129685510338736,0.036759550084140835,0.052434833445990585,-15.623774867609544,51.42939480184412,0.7612873076860905
R2,R2: more-illiberal party's score,q40 (≥ 0.405),809,120,0.0013694371647924586,0.09190131222066285,0.9881110257362551,809,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-3.3357075344027267,9.524795477015843,0.7261788247474565
R2,R2: more-illiberal party's score,q60 (≥ 0.705),542,70,0.13042141341392957,0.11018856296043109,0.23656342442017378,542,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-0.9741178719713199,0.7781538245384707,0.2106310808189595
R2,R2: more-illiberal party's score,q80 (≥ 0.9),275,21,0.18497197016560857,0.19114269983016427,0.3331859082052684,275,-0.27352539274730964,0.14318402642685213,0.05609374665103389,-1.2595762836311462,1.4954927932332356,0.399648975404744
R3,"R3: gap, within-country standardized",all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R3,"R3: gap, within-country standardized",q20 (≥ 0.254),1076,119,-0.03172385269944966,0.06234731482923645,0.610875116484512,1076,-0.06465046687508262,0.03536152029745219,0.06750878469875335,1.4917138124633427,8.007686848662793,0.8522210869329545
R3,"R3: gap, within-country standardized",q40 (≥ 0.834),808,93,-0.010352748581801852,0.07330248717024357,0.8876856787054388,808,-0.0612018024967203,0.051913872415059716,0.2384338683028287,-5.545167353674994,21.034907881301685,0.7920747630193624
R3,"R3: gap, within-country standardized",q60 (≥ 1.44),538,54,0.06438133220862072,0.11571641069341511,0.5779568042686984,538,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-1.5374738469789997,4.686069735495419,0.7428401897915717
R3,"R3: gap, within-country standardized",q80 (≥ 2.09),269,34,0.16077851725569584,0.14782033946057432,0.27674449492558084,269,-0.07650261590372048,0.0806707258669322,0.3429605590907487,-0.36566708083900595,0.47994576000996725,0.44612415931608834
R4,R4: prior backsliding,all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R4,R4: prior backsliding,no prior episode,1242,135,-0.022289764238674792,0.0637720141669359,0.7266969595033483,1242,-0.04686101037075939,0.03109412934135814,0.13179287324789274,1.1683645577029618,3.4382252629326726,0.7339949661266993
R5,R5: election type,both,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R5,R5: election type,presidential,397,58,-0.11296359586176255,0.14351630981123037,0.4312155458129387,397,-0.04489248181406952,0.03873323923412539,0.24644926537332176,0.36187075319917605,1.0949529575865524,0.7410299197243975
R5,R5: election type,parliamentary,950,84,0.00804646829845565,0.05992333535979505,0.893181658219967,950,-0.06198618244142129,0.03745739120165495,0.09795591125769221,9.798085234259425,101.07882686324544,0.922777941788975
