pair,row,col,n,n_treated,fs_coef,fs_se,fs_pval,fs_n,rf_coef,rf_se,rf_pval,late_coef,late_se,late_pval
R2 x R3,all,all,1347,142,-0.02524478175740104,0.05761594902663189,0.6612731013716799,1347,-0.053125954158510985,0.026745364453216368,0.04699323192751867,1.4237848267718562,5.998664526631127,0.8123850427396738
R2 x R3,all,q20 (≥ 0.254),1076,119,-0.03172385269944966,0.06234731482923645,0.610875116484512,1076,-0.06465046687508262,0.03536152029745219,0.06750878469875335,1.4917138124633427,8.007686848662793,0.8522210869329545
R2 x R3,all,q40 (≥ 0.834),808,93,-0.010352748581801852,0.07330248717024357,0.8876856787054388,808,-0.0612018024967203,0.051913872415059716,0.2384338683028287,-5.545167353674994,21.034907881301685,0.7920747630193624
R2 x R3,all,q60 (≥ 1.44),538,54,0.06438133220862072,0.11571641069341511,0.5779568042686984,538,-0.11021630640339064,0.08376462402825932,0.18824593237091758,-1.5374738469789997,4.686069735495419,0.7428401897915717
R2 x R3,all,q80 (≥ 2.09),269,34,0.16077851725569584,0.14782033946057432,0.27674449492558084,269,-0.07650261590372048,0.0806707258669322,0.3429605590907487,-0.36566708083900595,0.47994576000996725,0.44612415931608834
R2 x R3,q20 (≥ 0.144),all,1077,139,-0.002641678027845068,0.07322425812263729,0.9712213268747831,1077,-0.07129685510338736,0.036759550084140835,0.052434833445990585,-15.623774867609544,51.42939480184412,0.7612873076860905
R2 x R3,q20 (≥ 0.144),q20 (≥ 0.254),958,119,-0.008526525113387862,0.07097669827120145,0.9043791148966743,958,-0.06872270238424634,0.03925309841076828,0.07998748850328948,-675.0105918765481,3461.9632437075966,0.8454092835222852
R2 x R3,q20 (≥ 0.144),q40 (≥ 0.834),738,93,0.001777087408787667,0.07624064774715841,0.9814038539043785,738,-0.06782811798231267,0.05254420784636356,0.19674627527761587,-7.592844080431735,20.07482272510762,0.7052618176617088
R2 x R3,q20 (≥ 0.144),q60 (≥ 1.44),485,54,0.0556002259252322,0.11639253740828291,0.6328667362045888,485,-0.09396116708732738,0.07757579419776892,0.22581202004468812,-1.4858368082305458,2.033591134121536,0.464994932281745
R2 x R3,q20 (≥ 0.144),q80 (≥ 2.09),246,34,0.17316806963397785,0.15597554058346924,0.2669017369189064,246,-0.0955609813407224,0.08020970773098945,0.23350082186032375,-0.46164870068093644,0.49784968188283296,0.3537784151437815
R2 x R3,q40 (≥ 0.405),all,809,120,0.0013694371647924586,0.09190131222066285,0.9881110257362551,809,-0.08259890302898712,0.04421676354194732,0.061755802012374315,-3.3357075344027267,9.524795477015843,0.7261788247474565
R2 x R3,q40 (≥ 0.405),q20 (≥ 0.254),729,104,-0.014288341510708596,0.09772418098065616,0.8837548925325612,729,-0.07467369447131018,0.04509477216985551,0.09773640687791492,-8.375899241973281,67.59841797831707,0.901389120531856
R2 x R3,q40 (≥ 0.405),q40 (≥ 0.834),598,88,0.016396026113128348,0.12469784770941773,0.8953908296629645,598,-0.08288605943065741,0.05305369270117725,0.11821611006571248,-5.524576387250592,12.479531783568868,0.6579892541491239
R2 x R3,q40 (≥ 0.405),q60 (≥ 1.44),429,51,0.07450729779886622,0.1424347263125151,0.6009061679742684,429,-0.07389488124064128,0.07779798454970599,0.34219849873166247,-1.6681942547778559,2.7768820628251176,0.5480107438464341
R2 x R3,q40 (≥ 0.405),q80 (≥ 2.09),213,32,0.24097736508816478,0.20781205407167172,0.24621462706822997,213,-0.07463333111107777,0.08036487204985485,0.3530544213655356,-0.3324707480128379,0.33677177667749764,0.32353055734535524
R2 x R3,q60 (≥ 0.705),all,542,70,0.13042141341392957,0.11018856296043109,0.23656342442017378,542,-0.1593575848962559,0.08554486963132094,0.06248283926399296,-0.9741178719713199,0.7781538245384707,0.2106310808189595
R2 x R3,q60 (≥ 0.705),q20 (≥ 0.254),503,64,0.11663255516729121,0.11626906120260685,0.3157999183758442,503,-0.16115458240614,0.08300932020019651,0.05220935755747659,-0.9035257605839951,0.6693563850642043,0.1770664781365306
R2 x R3,q60 (≥ 0.705),q40 (≥ 0.834),428,56,0.1227079133326783,0.1352068478657276,0.36411235231949296,428,-0.1887076686888311,0.09310490328006757,0.04267995777439634,-0.691838159089459,0.5416418289389868,0.20149697197389413
R2 x R3,q60 (≥ 0.705),q60 (≥ 1.44),339,36,0.13402282035382765,0.1545474640599156,0.3858350610351647,339,-0.20542230733750327,0.10165995575782702,0.043312832274312055,-0.7055246663663101,0.6382000657887449,0.2689467309320692
R2 x R3,q60 (≥ 0.705),q80 (≥ 2.09),175,24,0.1135257019321523,0.27178035816603874,0.6761582761394804,175,-0.1130765957337489,0.0639676593671091,0.07710854861735841,-0.4707853083667212,0.47654726450049606,0.3231972411137866
R2 x R3,q80 (≥ 0.9),all,275,21,0.18497197016560857,0.19114269983016427,0.3331859082052684,275,-0.27352539274730964,0.14318402642685213,0.05609374665103389,-1.2595762836311462,1.4954927932332356,0.399648975404744
R2 x R3,q80 (≥ 0.9),q20 (≥ 0.254),253,20,0.18681777780891978,0.20235909683901768,0.3559033503439137,253,-0.27331815613577243,0.14948347305822113,0.06748695903674022,-0.8412509757503583,1.7138641913049695,0.6235322387657148
R2 x R3,q80 (≥ 0.9),q40 (≥ 0.834),213,17,0.2191158397625842,0.21609993843292918,0.3106037247149058,213,-0.3048996405752116,0.17270174228873195,0.0774849093681908,-1.3524368862997573,4.9872864897382225,0.786254979204015
