outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1274,98,-0.03993234953527948,0.022481686826221023,0.07569719244645638,-0.8224823017308078,1.236131807455305,0.5058152747247822,19.72491075491894
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1292,98,-0.022798492112915222,0.018843359106966898,0.22631906090493015,-0.5837713742560693,1.052015464259914,0.5789578646720022,20.072046961275205
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,996,79,-0.02538976782125399,0.01863948234495584,0.17315060325889636,-1.7120398324532125,7.9517565342398795,0.8295308167514361,18.615450462079266
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1186,86,-3.2089130957074774e-4,0.15653936662689452,0.9983644111522559,0.2907635374493806,3.0739346457377197,0.9246404777384343,18.21323138301191
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,917,81,0.26454491376386774,0.5803245890874362,0.6484929517461074,4.641171818390108,16.887898787367114,0.7834527358836769,19.131902216015742
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1164,89,-0.9113301169959964,2.3283217093356865,0.6954936568999501,-23.42702458911799,50.3841684638413,0.6419543933436427,18.998257339303738
Y_top10_share,Top-10% income share,top10,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1205,89,-0.4923405735087553,0.48667364521354683,0.3117082012988142,-56.54214448692158,244.0975548615775,0.8168195879083613,19.32399854119539
Y_gini_disp,Disposable,gini,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1037,75,0.3654554085339301,0.24627447260958737,0.1378260588064933,36.92814907366041,114.17909311390017,0.7463748851300893,21.522269600227034
Y_gini_mkt,Market,gini,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1037,75,0.3650083970539656,0.25653296817326565,0.15477911965839408,26.603976010784454,93.93915375763046,0.7770202018909945,20.338991604469193
Y_debt,Debt / GDP,fiscal,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1257,94,1.2902733942210496,6.656506127538477,0.8463039597410027,18.308370124793104,167.4372319393411,0.9129291115066058,19.16367669040074
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1109,79,2.0528942938322388,1.1687176773428631,0.07899698554494496,29.79571112828753,171.26033367329717,0.8618819223402092,18.118071667070062
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1291,86,2.9336604680350875e-4,0.01436817936132071,0.9837101158743143,0.09313578083694615,0.8344791388231827,0.9111330568605821,18.773184776497047
Y_jucon,Judicial constraints,institutions,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,-0.01500625088788501,0.01603456956606615,0.3493408228826879,-0.22789708074860585,0.4544346690745539,0.6160222285865222,16.08553305779838
Y_legcon,Legislative constraints,institutions,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1291,86,-0.006802327079932781,0.01936742650675917,0.7254194513072961,-0.27163887260849673,1.3849994293542445,0.8445090177519227,19.757219010591843
Y_hos_power,HOS,exec_power,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,0.00694866615821345,0.011998727733706976,0.5625102890909319,0.038917426659738255,0.2904414700097155,0.8934072853941836,17.56023640159405
Y_hog_power,HOG,exec_power,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,689,61,0.0125167662621827,0.012692530017676947,0.32405843680535273,0.6291684283971619,1.8291374352633842,0.7308688373605436,16.743941595007467
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,0.0032480103601918242,0.016633410972709727,0.84518138386378,0.0015767760898321714,0.3852385051630526,0.996734278198102,17.444748849066556
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,0.0011133145662940696,0.014616039693989818,0.9392832607611699,0.10446103201163406,0.3112861246089172,0.7371884939421169,15.909205465437465
Y_polyarchy,Electoral (polyarchy),vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,-0.015388514956984456,0.017759559740126492,0.3862204573246898,-0.2183607611913154,0.4912931583050235,0.6567091535618859,16.108991352902
Y_libdem,Liberal,vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,-0.012674026150937358,0.01579990994764786,0.4224614952968996,-0.20850048673616317,0.44719365182361703,0.6410422506918669,16.187055348655917
Y_partipdem,Participatory,vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1323,99,-0.008002980383596358,0.012329160263209508,0.516267322419977,-0.08615635001358957,0.2884146675461365,0.7651507310414862,15.928028221066848
Y_delibdem,Deliberative,vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,-0.010542925325248937,0.01704992225660152,0.5363405560243719,-0.13860891161391473,0.44246844991060225,0.7540809996168651,16.953852333622603
Y_egaldem,Egalitarian,vdem_high,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,-0.011271288865148821,0.011021732891439534,0.3064770623418276,-0.13023257376164346,0.31369504844052243,0.6780272581529472,16.482507098042447
Y_elecoff,Elected officials,vdem_electoral,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,-0.05178118122502809,0.041575217853341936,0.21295466560034249,-1.2867833225253011,1.60040923884391,0.4213773824385178,20.58306594526191
Y_frefair,Clean elections,vdem_electoral,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,-0.036792025010541865,0.024892082923990647,0.13939136528955023,-0.5586182021078148,1.016560809568584,0.5826501913069451,19.072150824191823
Y_frassoc,Association,vdem_electoral,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,-0.018967824635169495,0.018739454317470296,0.31144883982854643,-0.33308595333594926,0.5199906748947506,0.5218076867565511,15.70170585478249
Y_suffr,Suffrage,vdem_electoral,instr-antiplural_w3_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,100,0.03494532408736985,0.42191145431880867,1324,99,0.0053933421913146965,0.008694363506301657,0.5350429948317279,0.10600028028889727,0.18814034237550914,0.5731552589349335,15.423523003479572
