outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1243,121,-0.045172117609656906,0.025585070866357265,0.07746877774402625,0.17051343632175398,17.70665448165476,0.9923165646197264,22.861416854895673
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1269,127,-0.03654556334877619,0.02295923976758988,0.11143899486614717,0.5765851030255726,2.9208798468236137,0.8435136130804242,28.072520291722277
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,976,104,-0.03421778045997835,0.02168623126126959,0.11459837369730423,0.9357139048923026,1.8947068796779973,0.6214073051296642,19.450039962919202
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1162,113,0.014554376052976326,0.1727303964455933,0.9328491952098379,-0.20385980621719163,13.751729462528736,0.9881723506108266,19.21126575597392
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,905,107,-0.10890765603685928,0.5827943950565857,0.8517613943420317,0.020837743045613255,13.503036547031446,0.9987687134815071,17.098257851440152
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1140,116,-1.8497564846108174,2.32028421972761,0.425328403109954,223.56483203343282,747.5603157752493,0.7648948331959435,16.736343508582348
Y_top10_share,Top-10% income share,top10,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1184,116,-0.7105592688654543,0.5428883015778658,0.1905852190754077,13.47865302942632,25.46134865859347,0.596543932068599,20.420465161626378
Y_gini_disp,Disposable,gini,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1010,97,0.6072673098959933,0.2908029457835292,0.036775891135349306,-7.572511095091054,8.832842719515758,0.3912719130548225,18.640622075253187
Y_gini_mkt,Market,gini,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1010,97,0.48695350912755875,0.31738898464742793,0.12496858007194403,-5.829206728859905,7.973616589964739,0.46474138804884435,18.450349746693394
Y_debt,Debt / GDP,fiscal,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1232,122,8.046983383774656,9.1958705728731,0.3815386045884998,-1026.2636555909644,5380.113880275375,0.8487204538663853,19.121674938797238
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1086,105,1.6905599919082177,1.1119423558306987,0.12841887009872888,-68.68094444042491,137.54391209553648,0.6175410716136844,18.43042673133296
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1283,117,0.01130690239609838,0.0144551066550941,0.4340922490290715,-0.2698668728460305,0.47284342543799746,0.5681813251959378,18.291313610076127
Y_jucon,Judicial constraints,institutions,instr-antiplural_w4_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,129,-0.0033339894555796667,0.953637685906834,1312,127,-0.0045865497869675845,0.01596032197306565,0.7738274914245568,0.06321260569141807,1.391521569085199,0.963766985871878,21.992296721200898
