outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1179,168,-0.059885684413349904,0.03090805298367139,0.052678991690828125,-6.537981662303514,233.67430076318246,0.9776788714867272,22.408951757659338
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1204,172,-0.04411933069393768,0.028692136712629858,0.12412682570182045,-2.654046208857799,59.19588897195986,0.964238847003684,21.83627400444188
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,919,134,-0.051151476216619515,0.025604335016802107,0.04574200849824299,413.1415623608153,2653.1907014713306,0.8762576813456242,23.062157481192653
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1097,151,-0.04605268139537144,0.23193532486303947,0.8426082839674014,45.42440645235958,10869.32194133438,0.9966655392776059,20.848098329916592
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,854,149,0.38176079960490616,0.6009708420778904,0.5252718100511453,-16.971014272634886,57.87071605998057,0.7693254319619429,22.436265233560782
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1082,155,-1.0888249780448351,2.9652255661102322,0.7134713107740982,-118.73115110200592,2993.510638320459,0.9683619230429549,25.037129722225373
Y_top10_share,Top-10% income share,top10,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1116,161,-0.8132372866655648,0.6097836691938822,0.18231896674226003,55.49599425069241,196.76881127911628,0.7779154940501758,19.839495676447303
Y_gini_disp,Disposable,gini,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,946,134,0.5977329099672477,0.33446796173367654,0.07391880767614634,-19.88859034130195,37.30828397915988,0.5939728166097356,19.807893098186696
Y_gini_mkt,Market,gini,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,946,134,0.6893274212783033,0.3632437110813697,0.0577356739897318,-21.30848235756995,38.8851744499535,0.5837023784321616,20.614619071612005
Y_debt,Debt / GDP,fiscal,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1165,165,11.975880702171214,14.458781212478934,0.40751345824375806,208.39934814275392,1945.7371774282321,0.9147052044414069,20.92210724650231
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1017,139,1.84576199934933,1.1568714428133693,0.11060556670248319,-180.14706743717412,533.0326275737198,0.7353885801809451,15.13731042710981
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1229,170,0.00441713124513991,0.01862173307523405,0.8124992967928648,-0.14815689836819548,0.7981017620747197,0.8527297489683381,24.665250091895818
Y_jucon,Judicial constraints,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1258,178,-0.008769021292036924,0.018556316028488295,0.6365252572489579,-0.6558411482864351,6.262438944045484,0.9165931078014179,20.93555630175721
Y_legcon,Legislative constraints,institutions,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1229,170,-0.009316443464590563,0.023623962406554646,0.6933122199140218,0.4233842212105856,1.7145294444343073,0.8049554174431596,24.37762448382945
Y_hos_power,HOS,exec_power,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1258,178,0.006529447568539189,0.01504792024881089,0.6643535808987147,0.21143787460131586,2.7267743464266196,0.9381928654578054,18.891431180456703
Y_hog_power,HOG,exec_power,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,637,101,-0.0037685150607947664,0.01151661031192367,0.7434982223852846,0.09496943750634501,0.662781658286434,0.8860618041339376,29.49542994953863
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1258,178,0.0333761819940559,0.028855509222383755,0.24740890867865076,2.6603858612879727,66.20336065068564,0.9679455903130509,21.62999874321843
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1258,178,-0.02556346473716058,0.029125904845790338,0.3801129174346861,30.17236516632233,723.2573253687023,0.9667240379297241,24.398242835324172
Y_polyarchy,Electoral (polyarchy),vdem_high,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1258,178,-0.025182572279654612,0.0193487904299578,0.1930852158938366,-1.2760497792825078,48.802909605231214,0.9791400876186905,21.8498572585699
Y_libdem,Liberal,vdem_high,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1258,178,-0.016827482726683267,0.016893247204730913,0.31919813224877797,-0.35574223211813816,5.321614315369856,0.9467022678006629,19.96936453820446
Y_partipdem,Participatory,vdem_high,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1257,178,-0.015479638557820766,0.013660971851421221,0.25716023260155146,-0.42230864965354886,31.065440135040188,0.989153761477872,21.922178027798857
Y_delibdem,Deliberative,vdem_high,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1258,178,-0.005796135682891107,0.02059761927113343,0.7784048981878067,0.7167890290216279,15.068235502456641,0.962059308224196,26.480930886662136
Y_egaldem,Egalitarian,vdem_high,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1258,178,-0.009280241548941297,0.013794884765221258,0.5011186759393755,-0.8506837600655137,56.92617346122368,0.9880771508820643,22.583769167810836
Y_elecoff,Elected officials,vdem_electoral,instr-antiplural_w6_trt-ertOrDdcg_gapany_illibany_exclyr,backsliding_union_Nyr,1347,186,0.006963678585237276,0.9076787357618037,1258,178,-0.061977098655323186,0.03875121946113926,0.10974093106131351,-1.8047457072388955,169.3737331702502,0.9914983778130266,25.146202500888563
