outcome,outcome_label,panel,spec,treatment,n_first_stage,n_first_stage_treated,first_stage_coef,first_stage_pval,n_outcome,n_outcome_treated,rd_estimate,rd_se,rd_pval,late_estimate,late_se,late_pval,bandwidth
Y_gdp_growth,PWT,growth,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1120,372,-0.042774654250452016,0.035582588632576934,0.22931581051919853,-1.4222520680028174,2.006899267920299,0.47852224532904364,23.421576494054523
Y_gdp_growth_wb,World Bank,growth,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1151,403,-0.03447191218377085,0.03178457012080466,0.27812161463124413,-1.3812790936784847,2.3577450639566813,0.5579779881348634,21.853197995205047
Y_gdp_growth_imf,IMF WEO,growth,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,875,311,-0.0533605206648084,0.0285290066182496,0.0614289404116155,-294.1064457168778,2315.5311145524734,0.8989287789519834,19.255556433796464
Y_inflation,"CPI, cumulative log",inflation,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1045,363,-0.03621751557144248,0.2559448003283472,0.8874708665334933,-3.657890564437713,17.97207569694562,0.8387193213323301,24.780652307763603
Y_unemployment,Unemployment rate,unemployment,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,790,340,-0.21988536350722016,0.7067582405066056,0.7557107528936144,-129.05408795082076,473.31733453606654,0.7851155866499293,25.67909752020366
Y_trade_pct_gdp,Trade / GDP,trade,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1033,372,0.6231429619301823,3.624071498094839,0.8634803372023055,45.79312638397607,319.9371284699414,0.8861862158845629,19.12865698328887
Y_top10_share,Top-10% income share,top10,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1063,377,-0.4823971380329142,0.7054852687782724,0.4941137207963262,-79.01160002782203,197.29732205981236,0.688810593886525,22.430242008581587
Y_gini_disp,Disposable,gini,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,879,299,0.9928587664279449,0.4491055167681035,0.027053347586121358,-64.87935307624716,153.775767683805,0.6730915701262337,18.465820926745373
Y_gini_mkt,Market,gini,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,879,299,1.152973362777995,0.47558569521174715,0.015336955564739655,-70.79339543251612,164.98929071775584,0.6678659302356547,18.111347489086487
Y_debt,Debt / GDP,fiscal,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1112,394,9.927869549738485,14.5552982866156,0.49518872712125284,310.38035662034036,903.2159158372327,0.7311176724451829,24.704487285274997
Y_deficit,Deficit / GDP,fiscal,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,964,350,0.7156145758385652,1.0257231251808965,0.48538461638244357,-18.717316721281833,431.90649356030565,0.9654332939710842,16.286768082586946
Y_checks_balances,Checks & balances,institutions,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1161,409,0.009243608060674641,0.023425911116416055,0.6931461944779966,-1.2112715480087588,2.173295584481144,0.5772929550372201,24.636193092937216
Y_jucon,Judicial constraints,institutions,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1194,418,-0.01073332720019658,0.02278472821004355,0.6375868212677558,-0.5313851231825496,0.9792129746019538,0.5873601147682276,24.201142680334307
Y_legcon,Legislative constraints,institutions,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1161,409,-1.918456175087303e-4,0.026288519244680144,0.9941773328429181,-0.1526576973192852,2.4738355128182032,0.9507946429550702,25.201879772828697
Y_hos_power,HOS,exec_power,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1194,418,0.016506351750265852,0.01846090018692916,0.371255032838027,0.7221245354645955,0.9072024825365695,0.4260375713923488,25.078620486102736
Y_hog_power,HOG,exec_power,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,599,205,0.009742825379043446,0.013093263421319935,0.4568100623792005,0.3918637983543084,0.8975786975826737,0.6624168662787382,14.490204867790851
Y_hos_power_vdem,HOS (v2ex_hosw),exec_power_alt,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1194,418,0.02969378045560038,0.029416139083332456,0.3127644287568737,1.3912086376746984,1.8430811384737167,0.4503523904022145,22.489539870678286
Y_hog_power_vdem,HOG (v2ex_hogw),exec_power_alt,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1194,418,-0.015489764837281334,0.028932495128469543,0.5923898508179326,-0.6267567254078299,1.6874638764824517,0.7103252202244855,20.428292291981904
Y_polyarchy,Electoral (polyarchy),vdem_high,instr-antiplural_w8_trt-polyarchy_gapany_illibany_exclyr,polyarchy_decline,1194,418,0.01741046267755348,0.47291552773568774,1194,418,-0.01741046267755348,0.024257224880298873,0.47291552773568774,NA,NA,NA,NA
